Master Campaign Id,Advertiser,Campaign Id,Campaign ID type,Campaign Start,Campaign End,Promotion Type,Promoted Program Name,Episode,Network,Air Date Time,Time Zone,Program Duration(minutes),ISCI
4,NBC,145812,VOD,3/28/2016,4/14/2016,Episode,S.T.R.O.N.G.,S1Ep1,NBC,04/13/2016 21:00:00,PST,60,"NSTN01001H, NSTN01002H, NSTN01003H"
4,NBC,145812,VOD,3/28/2016,4/14/2016,Episode,S.T.R.O.N.G.,S1Ep1,NBC,04/13/2016 21:00:00,MST,60,"NSTN01001H, NSTN01002H, NSTN01003H"
4,NBC,145812,VOD,3/28/2016,4/14/2016,Episode,S.T.R.O.N.G.,S1Ep1,NBC,04/13/2016 20:00:00,CST,60,"NSTN01001H, NSTN01002H, NSTN01003H"
4,NBC,145812,VOD,3/28/2016,4/14/2016,Episode,S.T.R.O.N.G.,S1Ep2,NBC,04/13/2016 22:00:00,EST,60,"NSTN01001H, NSTN01002H, NSTN01003H"
4,NBC,145812,VOD,3/28/2016,4/14/2016,Episode,S.T.R.O.N.G.,S1Ep2,NBC,04/13/2016 22:00:00,PST,60,"NSTN01001H, NSTN01002H, NSTN01003H"
4,NBC,145812,VOD,3/28/2016,4/14/2016,Episode,S.T.R.O.N.G.,S1Ep2,NBC,04/13/2016 22:00:00,MST,60,"NSTN01001H, NSTN01002H, NSTN01003H"
4,NBC,145812,VOD,3/28/2016,4/14/2016,Episode,S.T.R.O.N.G.,S1Ep2,NBC,04/13/2016 21:00:00,CST,60,"NSTN01001H, NSTN01002H, NSTN01003H"
4,NBC,145812,VOD,3/28/2016,4/14/2016,Episode,S.T.R.O.N.G.,S1Ep3,NBC,04/14/2016  20:00:00,EST,60,"NSTN01001H, NSTN01002H, NSTN01003H"
4,NBC,145812,VOD,3/28/2016,4/14/2016,Episode,S.T.R.O.N.G.,S1Ep3,NBC,04/14/2016  20:00:00,PST,60,"NSTN01001H, NSTN01002H, NSTN01003H"
4,NBC,145812,VOD,3/28/2016,4/14/2016,Episode,S.T.R.O.N.G.,S1Ep3,NBC,04/14/2016  20:00:00,MST,60,"NSTN01001H, NSTN01002H, NSTN01003H"
4,NBC,145812,VOD,3/28/2016,4/14/2016,Episode,S.T.R.O.N.G.,S1Ep3,NBC,04/14/2016  19:00:00,CST,60,"NSTN01001H, NSTN01002H, NSTN01003H"
5,NBC,137083,Linear,4/15/2016,4/21/2016,Episode,S.T.R.O.N.G.,S1Ep4,NBC,04/21/2016 20:00:00,EST,60,"NSTN01040H, NSTN01041H"
5,NBC,137083,Linear,4/15/2016,4/21/2016,Episode,S.T.R.O.N.G.,S1Ep4,NBC,04/21/2016 20:00:00,PST,60,"NSTN01040H, NSTN01041H"
5,NBC,137083,Linear,4/15/2016,4/21/2016,Episode,S.T.R.O.N.G.,S1Ep4,NBC,04/21/2016 20:00:00,MST,60,"NSTN01040H, NSTN01041H"
5,NBC,137083,Linear,4/15/2016,4/21/2016,Episode,S.T.R.O.N.G.,S1Ep4,NBC,04/21/2016 19:00:00,CST,60,"NSTN01040H, NSTN01041H"
5,NBC,137083,Linear,4/15/2016,4/21/2016,Episode,S.T.R.O.N.G.,S1Ep5,NBC,04/28/2016 20:00:00,EST,60,"NSTN01040H, NSTN01041H"
5,NBC,137083,Linear,4/15/2016,4/21/2016,Episode,S.T.R.O.N.G.,S1Ep5,NBC,04/28/2016 20:00:00,PST,60,"NSTN01040H, NSTN01041H"
5,NBC,137083,Linear,4/15/2016,4/21/2016,Episode,S.T.R.O.N.G.,S1Ep5,NBC,04/28/2016 20:00:00,MST,60,"NSTN01040H, NSTN01041H"
5,NBC,137083,Linear,4/15/2016,4/21/2016,Episode,S.T.R.O.N.G.,S1Ep5,NBC,04/28/2016 19:00:00,CST,60,"NSTN01040H, NSTN01041H"
5,NBC,137083,Linear,4/15/2016,4/21/2016,Episode,S.T.R.O.N.G.,S1Ep6,NBC,05/05/2016 20:00:00,EST,60,"NSTN01040H, NSTN01041H"
5,NBC,137083,Linear,4/15/2016,4/21/2016,Episode,S.T.R.O.N.G.,S1Ep6,NBC,05/05/2016 20:00:00,PST,60,"NSTN01040H, NSTN01041H"
5,NBC,137083,Linear,4/15/2016,4/21/2016,Episode,S.T.R.O.N.G.,S1Ep6,NBC,05/05/2016 20:00:00,MST,60,"NSTN01040H, NSTN01041H"
5,NBC,137083,Linear,4/15/2016,4/21/2016,Episode,S.T.R.O.N.G.,S1Ep6,NBC,05/05/2016 19:00:00,CST,60,"NSTN01040H, NSTN01041H"
6,Discovery Channel,141189,VOD,03/22/2016,04/01/2016,Episode,Deadliest Catch,S12Ep1,Discovery,03/29/2016 21:00:00,EST,120,"DSCDC20143RH, DSCDC20153RH, DSCDC20163RH, DSCDC20173RH, DSCDC20183RH"
6,Discovery Channel,141189,VOD,03/22/2016,04/01/2016,Episode,Deadliest Catch,S12Ep1,Discovery,03/29/2016 21:00:00,PST,120,"DSCDC20143RH, DSCDC20153RH, DSCDC20163RH, DSCDC20173RH, DSCDC20183RH"
6,Discovery Channel,141189,VOD,03/22/2016,04/01/2016,Episode,Deadliest Catch,S12Ep1,Discovery,03/29/2016 21:00:00,MST,120,"DSCDC20143RH, DSCDC20153RH, DSCDC20163RH, DSCDC20173RH, DSCDC20183RH"
6,Discovery Channel,141189,VOD,03/22/2016,04/01/2016,Episode,Deadliest Catch,S12Ep1,Discovery,03/29/2016 20:00:00,CST,120,"DSCDC20143RH, DSCDC20153RH, DSCDC20163RH, DSCDC20173RH, DSCDC20183RH"
6,Discovery Channel,141189,VOD,03/22/2016,04/01/2016,Episode,Deadliest Catch,S12Ep2,Discovery,04/05/2016 21:00:00,EST,60,"DSCDC20143RH, DSCDC20153RH, DSCDC20163RH, DSCDC20173RH, DSCDC20183RH"
6,Discovery Channel,141189,VOD,03/22/2016,04/01/2016,Episode,Deadliest Catch,S12Ep2,Discovery,04/05/2016 21:00:00,PST,60,"DSCDC20143RH, DSCDC20153RH, DSCDC20163RH, DSCDC20173RH, DSCDC20183RH"
6,Discovery Channel,141189,VOD,03/22/2016,04/01/2016,Episode,Deadliest Catch,S12Ep2,Discovery,04/05/2016 21:00:00,MST,60,"DSCDC20143RH, DSCDC20153RH, DSCDC20163RH, DSCDC20173RH, DSCDC20183RH"
6,Discovery Channel,141189,VOD,03/22/2016,04/01/2016,Episode,Deadliest Catch,S12Ep2,Discovery,04/05/2016 20:00:00,CST,60,"DSCDC20143RH, DSCDC20153RH, DSCDC20163RH, DSCDC20173RH, DSCDC20183RH"
6,Discovery Channel,141189,VOD,03/22/2016,04/01/2016,Episode,Deadliest Catch,S12Ep3,Discovery,04/12/2016 21:00:00,EST,60,"DSCDC20143RH, DSCDC20153RH, DSCDC20163RH, DSCDC20173RH, DSCDC20183RH"
6,Discovery Channel,141189,VOD,03/22/2016,04/01/2016,Episode,Deadliest Catch,S12Ep3,Discovery,04/12/2016 21:00:00,PST,60,"DSCDC20143RH, DSCDC20153RH, DSCDC20163RH, DSCDC20173RH, DSCDC20183RH"
6,Discovery Channel,141189,VOD,03/22/2016,04/01/2016,Episode,Deadliest Catch,S12Ep3,Discovery,04/12/2016 21:00:00,MST,60,"DSCDC20143RH, DSCDC20153RH, DSCDC20163RH, DSCDC20173RH, DSCDC20183RH"
6,Discovery Channel,141189,VOD,03/22/2016,04/01/2016,Episode,Deadliest Catch,S12Ep3,Discovery,04/12/2016 20:00:00,CST,60,"DSCDC20143RH, DSCDC20153RH, DSCDC20163RH, DSCDC20173RH, DSCDC20183RH"
6,Discovery Channel,134763,Linear,03/21/2016,03/27/2016,Episode,Deadliest Catch,S12Ep1,Discovery,03/29/2016 21:00:00,EST,120,"DSCDC20143RH, DSCDC20153RH, DSCDC20163RH, DSCDC20173RH, DSCDC20183RH"
6,Discovery Channel,134763,Linear,03/21/2016,03/27/2016,Episode,Deadliest Catch,S12Ep1,Discovery,03/29/2016 21:00:00,PST,120,"DSCDC20143RH, DSCDC20153RH, DSCDC20163RH, DSCDC20173RH, DSCDC20183RH"
6,Discovery Channel,134763,Linear,03/21/2016,03/27/2016,Episode,Deadliest Catch,S12Ep1,Discovery,03/29/2016 21:00:00,MST,120,"DSCDC20143RH, DSCDC20153RH, DSCDC20163RH, DSCDC20173RH, DSCDC20183RH"
6,Discovery Channel,134763,Linear,03/21/2016,03/27/2016,Episode,Deadliest Catch,S12Ep1,Discovery,03/29/2016 20:00:00,CST,120,"DSCDC20143RH, DSCDC20153RH, DSCDC20163RH, DSCDC20173RH, DSCDC20183RH"
6,Discovery Channel,135122,Linear,03/28/2016,04/01/2016,Episode,Deadliest Catch,S12Ep1,Discovery,03/29/2016 21:00:00,EST,120,"DSCDC20143RH, DSCDC20153RH, DSCDC20163RH, DSCDC20173RH, DSCDC20183RH"
6,Discovery Channel,135122,Linear,03/28/2016,04/01/2016,Episode,Deadliest Catch,S12Ep1,Discovery,03/29/2016 21:00:00,PST,120,"DSCDC20143RH, DSCDC20153RH, DSCDC20163RH, DSCDC20173RH, DSCDC20183RH"
6,Discovery Channel,135122,Linear,03/28/2016,04/01/2016,Episode,Deadliest Catch,S12Ep1,Discovery,03/29/2016 21:00:00,MST,120,"DSCDC20143RH, DSCDC20153RH, DSCDC20163RH, DSCDC20173RH, DSCDC20183RH"
6,Discovery Channel,135122,Linear,03/28/2016,04/01/2016,Episode,Deadliest Catch,S12Ep1,Discovery,03/29/2016 20:00:00,CST,120,"DSCDC20143RH, DSCDC20153RH, DSCDC20163RH, DSCDC20173RH, DSCDC20183RH"
6,Discovery Channel,135122,Linear,03/28/2016,04/01/2016,Episode,Deadliest Catch,S12Ep2,Discovery,04/05/2016 21:00:00,EST,60,"DSCDC20143RH, DSCDC20153RH, DSCDC20163RH, DSCDC20173RH, DSCDC20183RH"
6,Discovery Channel,135122,Linear,03/28/2016,04/01/2016,Episode,Deadliest Catch,S12Ep2,Discovery,04/05/2016 21:00:00,PST,60,"DSCDC20143RH, DSCDC20153RH, DSCDC20163RH, DSCDC20173RH, DSCDC20183RH"
6,Discovery Channel,135122,Linear,03/28/2016,04/01/2016,Episode,Deadliest Catch,S12Ep2,Discovery,04/05/2016 21:00:00,MST,60,"DSCDC20143RH, DSCDC20153RH, DSCDC20163RH, DSCDC20173RH, DSCDC20183RH"
6,Discovery Channel,135122,Linear,03/28/2016,04/01/2016,Episode,Deadliest Catch,S12Ep2,Discovery,04/05/2016 20:00:00,CST,60,"DSCDC20143RH, DSCDC20153RH, DSCDC20163RH, DSCDC20173RH, DSCDC20183RH"
6,Discovery Channel,135122,Linear,03/28/2016,04/01/2016,Episode,Deadliest Catch,S12Ep3,Discovery,04/12/2016 21:00:00,EST,60,"DSCDC20143RH, DSCDC20153RH, DSCDC20163RH, DSCDC20173RH, DSCDC20183RH"
6,Discovery Channel,135122,Linear,03/28/2016,04/01/2016,Episode,Deadliest Catch,S12Ep3,Discovery,04/12/2016 21:00:00,PST,60,"DSCDC20143RH, DSCDC20153RH, DSCDC20163RH, DSCDC20173RH, DSCDC20183RH"
6,Discovery Channel,135122,Linear,03/28/2016,04/01/2016,Episode,Deadliest Catch,S12Ep3,Discovery,04/12/2016 21:00:00,MST,60,"DSCDC20143RH, DSCDC20153RH, DSCDC20163RH, DSCDC20173RH, DSCDC20183RH"
6,Discovery Channel,135122,Linear,03/28/2016,04/01/2016,Episode,Deadliest Catch,S12Ep3,Discovery,04/12/2016 20:00:00,CST,60,"DSCDC20143RH, DSCDC20153RH, DSCDC20163RH, DSCDC20173RH, DSCDC20183RH"
7,WE TV,153103,VOD,05/27/2016,06/06/2016,Episode,Marriage Boot Camp,S5Ep1,WE,06/03/2016 21:00:00,EST,60,"WEMBCDAI01H, WEMBCDAI02H, WEMBCDAI03H"
7,WE TV,153103,VOD,05/27/2016,06/06/2016,Episode,Marriage Boot Camp,S5Ep1,WE,06/03/2016 21:00:00,PST,60,"WEMBCDAI01H, WEMBCDAI02H, WEMBCDAI03H"
7,WE TV,153103,VOD,05/27/2016,06/06/2016,Episode,Marriage Boot Camp,S5Ep1,WE,06/03/2016 21:00:00,MST,60,"WEMBCDAI01H, WEMBCDAI02H, WEMBCDAI03H"
7,WE TV,153103,VOD,05/27/2016,06/06/2016,Episode,Marriage Boot Camp,S5Ep1,WE,06/03/2016 20:00:00,CST,60,"WEMBCDAI01H, WEMBCDAI02H, WEMBCDAI03H"
7,WE TV,153103,VOD,05/27/2016,06/06/2016,Episode,Marriage Boot Camp,S5Ep2,WE,06/10/2016 21:00:00,EST,60,"WEMBCDAI01H, WEMBCDAI02H, WEMBCDAI03H"
7,WE TV,153103,VOD,05/27/2016,06/06/2016,Episode,Marriage Boot Camp,S5Ep2,WE,06/10/2016 21:00:00,PST,60,"WEMBCDAI01H, WEMBCDAI02H, WEMBCDAI03H"
7,WE TV,153103,VOD,05/27/2016,06/06/2016,Episode,Marriage Boot Camp,S5Ep2,WE,06/10/2016 21:00:00,MST,60,"WEMBCDAI01H, WEMBCDAI02H, WEMBCDAI03H"
7,WE TV,153103,VOD,05/27/2016,06/06/2016,Episode,Marriage Boot Camp,S5Ep2,WE,06/10/2016 20:00:00,CST,60,"WEMBCDAI01H, WEMBCDAI02H, WEMBCDAI03H"
7,WE TV,153103,VOD,05/27/2016,06/06/2016,Episode,Marriage Boot Camp,S5Ep3,WE,06/17/2016 21:00:00,EST,60,"WEMBCDAI01H, WEMBCDAI02H, WEMBCDAI03H"
7,WE TV,153103,VOD,05/27/2016,06/06/2016,Episode,Marriage Boot Camp,S5Ep3,WE,06/17/2016 21:00:00,PST,60,"WEMBCDAI01H, WEMBCDAI02H, WEMBCDAI03H"
7,WE TV,153103,VOD,05/27/2016,06/06/2016,Episode,Marriage Boot Camp,S5Ep3,WE,06/17/2016 21:00:00,MST,60,"WEMBCDAI01H, WEMBCDAI02H, WEMBCDAI03H"
7,WE TV,153103,VOD,05/27/2016,06/06/2016,Episode,Marriage Boot Camp,S5Ep3,WE,06/17/2016 20:00:00,CST,60,"WEMBCDAI01H, WEMBCDAI02H, WEMBCDAI03H"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
